"","ENTREZID","SYMBOL","GENENAME"
"1","100287102","DDX11L1","DEAD/H-box helicase 11 like 1"
"2","653635","WASH7P","WASP family homolog 7, pseudogene"
"3","102466751","MIR6859-1","microRNA 6859-1"
"4","100302278","MIR1302-2","microRNA 1302-2"
"5","645520","FAM138A","family with sequence similarity 138 member A"
"6","79501","OR4F5","olfactory receptor family 4 subfamily F member 5"
"7","729737","LOC729737","uncharacterized LOC729737"
"8","102725121","LOC102725121","DEAD/H-box helicase 11 pseudogene"
"9","102723897","WASH9P","WAS protein family homolog 9, pseudogene"
"10","102465909","MIR6859-2","microRNA 6859-2"
"11","729759","OR4F29","olfactory receptor family 4 subfamily F member 29"
"12","100132287","LOC100132287","uncharacterized LOC100132287"
"13","105378947","LOC105378947","proline-rich extensin-like protein EPR1"
"14","101928626","LOC101928626","uncharacterized LOC101928626"
"15","102465432",NA,NA
"16","81399","OR4F16","olfactory receptor family 4 subfamily F member 16"
"17","100133331","LOC100133331","uncharacterized LOC100133331"
"18","100288069","LOC100288069","uncharacterized LOC100288069"
"19","400728","FAM87B","family with sequence similarity 87 member B"
"20","79854","LINC00115","long intergenic non-protein coding RNA 115"
"21","643837","LINC01128","long intergenic non-protein coding RNA 1128"
"22","284593","FAM41C","family with sequence similarity 41 member C"
"23","100130417","LINC02593","long intergenic non-protein coding RNA 2593"
"24","148398","SAMD11","sterile alpha motif domain containing 11"
"25","26155","NOC2L","NOC2 like nucleolar associated transcriptional repressor"
"26","339451","KLHL17","kelch like family member 17"
"27","84069","PLEKHN1","pleckstrin homology domain containing N1"
"28","84808","PERM1","PPARGC1 and ESRR induced regulator, muscle 1"
"29","57801","HES4","hes family bHLH transcription factor 4"
"30","9636","ISG15","ISG15 ubiquitin like modifier"
"31","375790","AGRN","agrin"
"32","105369174",NA,NA
"33","105378948","LOC105378948","uncharacterized LOC105378948"
"34","401934","RNF223","ring finger protein 223"
"35","54991","C1orf159","chromosome 1 open reading frame 159"
"36","254099","LINC01342","long intergenic non-protein coding RNA 1342"
"37","406984","MIR200B","microRNA 200b"
"38","406983","MIR200A","microRNA 200a"
"39","554210","MIR429","microRNA 429"
"40","254173","TTLL10","tubulin tyrosine ligase like 10"
"41","8784","TNFRSF18","TNF receptor superfamily member 18"
"42","7293","TNFRSF4","TNF receptor superfamily member 4"
"43","51150","SDF4","stromal cell derived factor 4"
"44","126792","B3GALT6","beta-1,3-galactosyltransferase 6"
"45","388581","C1QTNF12","C1q and TNF related 12"
"46","118424","UBE2J2","ubiquitin conjugating enzyme E2 J2"
"47","6339","SCNN1D","sodium channel epithelial 1 delta subunit"
"48","116983","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"49","102465434","MIR6726","microRNA 6726"
"50","126789","PUSL1","pseudouridine synthase like 1"
"51","54973","INTS11","integrator complex subunit 11"
"52","102465435","MIR6727","microRNA 6727"
"53","80772","CPTP","ceramide-1-phosphate transfer protein"
"54","83756","TAS1R3","taste 1 receptor member 3"
"55","1855","DVL1","dishevelled segment polarity protein 1"
"56","102466740","MIR6808","microRNA 6808"
"57","54587","MXRA8","matrix remodeling associated 8"
"58","54998","AURKAIP1","aurora kinase A interacting protein 1"
"59","81669","CCNL2","cyclin L2"
"60","148413","MRPL20-AS1","MRPL20 antisense RNA 1"
"61","55052","MRPL20","mitochondrial ribosomal protein L20"
"62","441869","ANKRD65","ankyrin repeat domain 65"
"63","643965","TMEM88B","transmembrane protein 88B"
"64","102724312","LINC01770","long intergenic non-protein coding RNA 1770"
"65","64856","VWA1","von Willebrand factor A domain containing 1"
"66","219293","ATAD3C","ATPase family AAA domain containing 3C"
"67","83858","ATAD3B","ATPase family AAA domain containing 3B"
